,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,13.27,13.4,13.26,13.31,0,0,1151469
1,2020-09-15 09:31:00,13.31,13.42,13.31,13.41,0,0,253862
2,2020-09-15 09:32:00,13.41,13.47,13.39,13.47,0,0,511999
3,2020-09-15 09:33:00,13.47,13.52,13.45,13.47,0,0,681973
4,2020-09-15 09:34:00,13.5,13.54,13.47,13.51,0,0,405401
5,2020-09-15 09:35:00,13.52,13.61,13.51,13.59,0,0,640148
6,2020-09-15 09:36:00,13.53,13.59,13.5,13.51,0,0,534101
7,2020-09-15 09:37:00,13.51,13.54,13.5,13.51,0,0,343117
8,2020-09-15 09:38:00,13.51,13.58,13.49,13.55,0,0,474614
9,2020-09-15 09:39:00,13.56,13.59,13.55,13.56,0,0,269696
10,2020-09-15 09:40:00,13.56,13.6,13.54,13.59,0,0,365844
11,2020-09-15 09:41:00,13.59,13.62,13.57,13.6,0,0,319568
12,2020-09-15 09:42:00,13.6,13.66,13.6,13.65,0,0,415374
13,2020-09-15 09:43:00,13.65,13.65,13.57,13.58,0,0,495282
14,2020-09-15 09:44:00,13.58,13.6,13.55,13.59,0,0,399184
15,2020-09-15 09:45:00,13.59,13.59,13.47,13.49,0,0,341309
16,2020-09-15 09:46:00,13.49,13.51,13.43,13.45,0,0,278709
17,2020-09-15 09:47:00,13.46,13.48,13.43,13.44,0,0,229557
18,2020-09-15 09:48:00,13.44,13.46,13.41,13.43,0,0,308413
19,2020-09-15 09:49:00,13.45,13.46,13.39,13.44,0,0,284035
20,2020-09-15 09:50:00,13.43,13.48,13.42,13.47,0,0,208396
21,2020-09-15 09:51:00,13.47,13.49,13.46,13.46,0,0,156677
22,2020-09-15 09:52:00,13.48,13.51,13.47,13.5,0,0,294829
23,2020-09-15 09:53:00,13.5,13.5,13.44,13.46,0,0,168353
24,2020-09-15 09:54:00,13.45,13.46,13.39,13.4,0,0,312857
25,2020-09-15 09:55:00,13.4,13.42,13.36,13.38,0,0,290039
26,2020-09-15 09:56:00,13.39,13.39,13.34,13.35,0,0,293022
27,2020-09-15 09:57:00,13.35,13.39,13.35,13.36,0,0,206549
28,2020-09-15 09:58:00,13.33,13.36,13.28,13.3,0,0,369738
29,2020-09-15 09:59:00,13.3,13.31,13.22,13.26,0,0,487408
30,2020-09-15 10:00:00,13.25,13.27,13.2,13.23,0,0,340457
31,2020-09-15 10:01:00,13.22,13.3,13.21,13.28,0,0,356458
32,2020-09-15 10:02:00,13.28,13.35,13.28,13.34,0,0,268199
33,2020-09-15 10:03:00,13.34,13.34,13.25,13.27,0,0,283061
34,2020-09-15 10:04:00,13.27,13.28,13.23,13.28,0,0,193465
35,2020-09-15 10:05:00,13.27,13.29,13.25,13.26,0,0,91818
36,2020-09-15 10:06:00,13.26,13.27,13.23,13.26,0,0,229172
37,2020-09-15 10:07:00,13.26,13.28,13.24,13.24,0,0,108506
38,2020-09-15 10:08:00,13.24,13.27,13.23,13.26,0,0,89593
39,2020-09-15 10:09:00,13.25,13.25,13.23,13.24,0,0,76627
40,2020-09-15 10:10:00,13.24,13.24,13.17,13.17,0,0,373283
41,2020-09-15 10:11:00,13.17,13.21,13.16,13.2,0,0,362085
42,2020-09-15 10:12:00,13.2,13.21,13.17,13.2,0,0,95338
43,2020-09-15 10:13:00,13.21,13.22,13.2,13.2,0,0,87667
44,2020-09-15 10:14:00,13.21,13.23,13.2,13.2,0,0,154933
45,2020-09-15 10:15:00,13.2,13.23,13.19,13.2,0,0,164288
46,2020-09-15 10:16:00,13.2,13.25,13.2,13.24,0,0,117431
47,2020-09-15 10:17:00,13.24,13.28,13.24,13.27,0,0,177789
48,2020-09-15 10:18:00,13.27,13.28,13.26,13.27,0,0,156506
49,2020-09-15 10:19:00,13.27,13.3,13.26,13.27,0,0,149458
50,2020-09-15 10:20:00,13.26,13.3,13.25,13.3,0,0,139285
51,2020-09-15 10:21:00,13.29,13.3,13.28,13.3,0,0,165366
52,2020-09-15 10:22:00,13.29,13.3,13.27,13.28,0,0,128624
53,2020-09-15 10:23:00,13.29,13.3,13.28,13.3,0,0,40005
54,2020-09-15 10:24:00,13.29,13.3,13.25,13.26,0,0,88105
55,2020-09-15 10:25:00,13.26,13.28,13.24,13.28,0,0,77736
56,2020-09-15 10:26:00,13.28,13.34,13.28,13.32,0,0,181842
57,2020-09-15 10:27:00,13.33,13.33,13.3,13.32,0,0,111375
58,2020-09-15 10:28:00,13.31,13.35,13.31,13.34,0,0,157892
59,2020-09-15 10:29:00,13.34,13.34,13.31,13.32,0,0,172568
60,2020-09-15 10:30:00,13.32,13.33,13.28,13.31,0,0,176221
61,2020-09-15 10:31:00,13.3,13.31,13.29,13.3,0,0,62133
62,2020-09-15 10:32:00,13.29,13.32,13.29,13.3,0,0,64851
63,2020-09-15 10:33:00,13.31,13.31,13.27,13.3,0,0,108797
64,2020-09-15 10:34:00,13.29,13.3,13.28,13.28,0,0,37029
65,2020-09-15 10:35:00,13.29,13.32,13.28,13.31,0,0,99264
66,2020-09-15 10:36:00,13.31,13.32,13.3,13.3,0,0,32881
67,2020-09-15 10:37:00,13.3,13.31,13.29,13.31,0,0,98554
68,2020-09-15 10:38:00,13.31,13.33,13.31,13.33,0,0,128323
69,2020-09-15 10:39:00,13.32,13.33,13.3,13.31,0,0,82186
70,2020-09-15 10:40:00,13.32,13.33,13.3,13.33,0,0,132684
71,2020-09-15 10:41:00,13.33,13.35,13.31,13.32,0,0,78880
72,2020-09-15 10:42:00,13.32,13.32,13.3,13.31,0,0,97836
73,2020-09-15 10:43:00,13.31,13.31,13.28,13.29,0,0,110356
74,2020-09-15 10:44:00,13.3,13.32,13.29,13.3,0,0,90423
