,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,118.33,118.83,117.75,117.79,0,0,7464089
1,2020-09-15 09:31:00,117.79,118.02,117.57,117.75,0,0,1000341
2,2020-09-15 09:32:00,117.74,118.05,117.45,117.99,0,0,999883
3,2020-09-15 09:33:00,117.99,118.08,117.46,117.99,0,0,944487
4,2020-09-15 09:34:00,117.97,117.99,117.62,117.83,0,0,612350
5,2020-09-15 09:35:00,117.86,117.87,117.43,117.63,0,0,753328
6,2020-09-15 09:36:00,117.64,117.98,117.5,117.78,0,0,557133
7,2020-09-15 09:37:00,117.74,117.98,117.65,117.85,0,0,638692
8,2020-09-15 09:38:00,117.86,117.92,117.58,117.67,0,0,612957
9,2020-09-15 09:39:00,117.65,117.8,117.62,117.79,0,0,473884
10,2020-09-15 09:40:00,117.79,117.84,117.45,117.54,0,0,715765
11,2020-09-15 09:41:00,117.56,117.59,117.23,117.43,0,0,689359
12,2020-09-15 09:42:00,117.43,117.5,117.31,117.39,0,0,503190
13,2020-09-15 09:43:00,117.38,117.63,117.37,117.55,0,0,595019
14,2020-09-15 09:44:00,117.55,117.64,117.44,117.47,0,0,447138
15,2020-09-15 09:45:00,117.44,117.53,117.26,117.38,0,0,529881
16,2020-09-15 09:46:00,117.54,117.63,117.38,117.57,0,0,667283
17,2020-09-15 09:47:00,117.88,117.97,117.57,117.88,0,0,861255
18,2020-09-15 09:48:00,117.9,118.07,117.89,118.01,0,0,826438
19,2020-09-15 09:49:00,118.11,118.15,117.96,117.97,0,0,722481
20,2020-09-15 09:50:00,117.97,118.14,117.85,117.86,0,0,592311
21,2020-09-15 09:51:00,117.86,118.03,117.78,117.89,0,0,571348
22,2020-09-15 09:52:00,118.0,118.05,117.9,117.96,0,0,511647
23,2020-09-15 09:53:00,117.96,118.09,117.94,118.03,0,0,442511
24,2020-09-15 09:54:00,118.13,118.19,118.03,118.14,0,0,535377
25,2020-09-15 09:55:00,118.14,118.29,118.13,118.24,0,0,592701
26,2020-09-15 09:56:00,118.2,118.25,117.87,118.03,0,0,597305
27,2020-09-15 09:57:00,118.05,118.06,117.82,117.89,0,0,481699
28,2020-09-15 09:58:00,117.88,118.03,117.87,117.89,0,0,391624
29,2020-09-15 09:59:00,117.98,118.06,117.89,118.04,0,0,306590
30,2020-09-15 10:00:00,118.04,118.08,117.83,117.91,0,0,452906
31,2020-09-15 10:01:00,117.9,118.0,117.82,117.93,0,0,320033
32,2020-09-15 10:02:00,117.92,117.95,117.72,117.76,0,0,359430
33,2020-09-15 10:03:00,117.77,117.86,117.73,117.77,0,0,346725
34,2020-09-15 10:04:00,117.77,117.87,117.68,117.69,0,0,347380
35,2020-09-15 10:05:00,117.68,117.75,117.45,117.45,0,0,768852
36,2020-09-15 10:06:00,117.45,117.5,117.36,117.49,0,0,451624
