,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,57.23,57.38,57.18,57.37,0,0,121346
1,2020-09-15 09:31:00,57.34,57.42,57.2,57.21,0,0,18716
2,2020-09-15 09:32:00,57.23,57.23,57.12,57.18,0,0,16703
3,2020-09-15 09:33:00,57.19,57.19,57.07,57.14,0,0,19711
4,2020-09-15 09:34:00,57.14,57.14,56.99,57.01,0,0,15226
5,2020-09-15 09:35:00,57.04,57.04,56.94,57.0,0,0,8099
6,2020-09-15 09:36:00,57.01,57.04,56.9,56.97,0,0,15324
7,2020-09-15 09:37:00,56.97,57.0,56.83,56.88,0,0,21310
8,2020-09-15 09:38:00,56.88,56.93,56.84,56.92,0,0,13755
9,2020-09-15 09:39:00,56.89,56.98,56.88,56.98,0,0,10163
10,2020-09-15 09:40:00,56.98,56.98,56.83,56.86,0,0,39517
11,2020-09-15 09:41:00,56.87,56.96,56.87,56.93,0,0,32336
12,2020-09-15 09:42:00,56.91,56.92,56.79,56.83,0,0,29427
13,2020-09-15 09:43:00,56.83,56.88,56.82,56.82,0,0,15562
14,2020-09-15 09:44:00,56.82,56.86,56.79,56.79,0,0,20933
15,2020-09-15 09:45:00,56.78,56.79,56.61,56.71,0,0,28969
16,2020-09-15 09:46:00,56.73,56.79,56.7,56.79,0,0,20811
17,2020-09-15 09:47:00,56.81,56.86,56.79,56.83,0,0,20662
18,2020-09-15 09:48:00,56.8,56.87,56.78,56.8,0,0,17255
19,2020-09-15 09:49:00,56.79,56.79,56.58,56.6,0,0,28115
20,2020-09-15 09:50:00,56.59,56.64,56.57,56.64,0,0,28457
21,2020-09-15 09:51:00,56.66,56.71,56.64,56.65,0,0,23684
22,2020-09-15 09:52:00,56.66,56.72,56.62,56.63,0,0,24316
23,2020-09-15 09:53:00,56.62,56.77,56.62,56.69,0,0,24949
24,2020-09-15 09:54:00,56.69,56.69,56.6,56.62,0,0,13938
25,2020-09-15 09:55:00,56.62,56.64,56.57,56.57,0,0,12037
26,2020-09-15 09:56:00,56.57,56.69,56.57,56.68,0,0,10373
27,2020-09-15 09:57:00,56.66,56.69,56.61,56.61,0,0,39460
28,2020-09-15 09:58:00,56.62,56.65,56.57,56.6,0,0,32761
29,2020-09-15 09:59:00,56.6,56.6,56.51,56.53,0,0,10015
30,2020-09-15 10:00:00,56.52,56.53,56.48,56.51,0,0,31235
31,2020-09-15 10:01:00,56.51,56.54,56.49,56.54,0,0,11977
