,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,17.14,17.23,17.11,17.14,0,0,4515353
1,2020-09-15 09:31:00,17.13,17.16,16.81,16.85,0,0,1443742
2,2020-09-15 09:32:00,16.85,16.89,16.71,16.88,0,0,1104543
3,2020-09-15 09:33:00,16.88,17.0,16.84,16.89,0,0,1022907
4,2020-09-15 09:34:00,16.89,16.99,16.87,16.88,0,0,672246
5,2020-09-15 09:35:00,16.87,16.9,16.77,16.88,0,0,654375
6,2020-09-15 09:36:00,16.88,16.88,16.57,16.58,0,0,1178100
7,2020-09-15 09:37:00,16.58,16.64,16.46,16.48,0,0,1285457
8,2020-09-15 09:38:00,16.48,16.59,16.41,16.59,0,0,1156296
9,2020-09-15 09:39:00,16.59,16.64,16.52,16.55,0,0,778044
10,2020-09-15 09:40:00,16.55,16.67,16.52,16.67,0,0,859253
11,2020-09-15 09:41:00,16.67,16.68,16.6,16.64,0,0,609173
12,2020-09-15 09:42:00,16.63,16.66,16.59,16.61,0,0,431917
13,2020-09-15 09:43:00,16.61,16.66,16.57,16.57,0,0,539890
14,2020-09-15 09:44:00,16.58,16.63,16.57,16.6,0,0,378184
15,2020-09-15 09:45:00,16.59,16.61,16.48,16.49,0,0,741151
16,2020-09-15 09:46:00,16.5,16.51,16.41,16.45,0,0,480015
17,2020-09-15 09:47:00,16.45,16.5,16.42,16.49,0,0,382980
18,2020-09-15 09:48:00,16.49,16.51,16.44,16.49,0,0,417919
19,2020-09-15 09:49:00,16.49,16.5,16.42,16.45,0,0,369258
20,2020-09-15 09:50:00,16.45,16.5,16.41,16.47,0,0,429097
21,2020-09-15 09:51:00,16.45,16.5,16.45,16.48,0,0,311038
22,2020-09-15 09:52:00,16.48,16.57,16.47,16.53,0,0,434170
23,2020-09-15 09:53:00,16.53,16.55,16.46,16.46,0,0,450295
24,2020-09-15 09:54:00,16.47,16.49,16.42,16.46,0,0,442895
25,2020-09-15 09:55:00,16.46,16.47,16.33,16.38,0,0,627583
26,2020-09-15 09:56:00,16.39,16.4,16.33,16.35,0,0,399652
27,2020-09-15 09:57:00,16.35,16.38,16.33,16.34,0,0,339475
28,2020-09-15 09:58:00,16.33,16.36,16.26,16.27,0,0,652019
29,2020-09-15 09:59:00,16.28,16.29,16.17,16.18,0,0,590825
30,2020-09-15 10:00:00,16.17,16.18,16.1,16.11,0,0,898552
31,2020-09-15 10:01:00,16.11,16.22,16.1,16.18,0,0,516908
32,2020-09-15 10:02:00,16.18,16.28,16.17,16.26,0,0,477348
33,2020-09-15 10:03:00,16.27,16.27,16.16,16.19,0,0,619284
34,2020-09-15 10:04:00,16.19,16.21,16.14,16.18,0,0,323595
35,2020-09-15 10:05:00,16.19,16.2,16.13,16.17,0,0,330169
36,2020-09-15 10:06:00,16.17,16.22,16.16,16.2,0,0,254484
37,2020-09-15 10:07:00,16.2,16.21,16.1,16.1,0,0,422667
