,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,7.16,7.16,7.13,7.15,0,0,744944
1,2020-09-15 09:31:00,7.15,7.15,7.14,7.14,0,0,114036
2,2020-09-15 09:32:00,7.14,7.17,7.14,7.17,0,0,140555
3,2020-09-15 09:33:00,7.16,7.18,7.16,7.18,0,0,161852
4,2020-09-15 09:34:00,7.18,7.18,7.16,7.17,0,0,304952
5,2020-09-15 09:35:00,7.16,7.17,7.14,7.16,0,0,304502
6,2020-09-15 09:36:00,7.15,7.16,7.15,7.15,0,0,42735
7,2020-09-15 09:37:00,7.16,7.16,7.13,7.14,0,0,231335
8,2020-09-15 09:38:00,7.13,7.13,7.12,7.13,0,0,105444
9,2020-09-15 09:39:00,7.12,7.14,7.12,7.14,0,0,109607
10,2020-09-15 09:40:00,7.14,7.14,7.13,7.14,0,0,51596
11,2020-09-15 09:41:00,7.14,7.16,7.14,7.15,0,0,126287
12,2020-09-15 09:42:00,7.15,7.16,7.14,7.15,0,0,158791
13,2020-09-15 09:43:00,7.15,7.15,7.14,7.14,0,0,45163
14,2020-09-15 09:44:00,7.14,7.15,7.14,7.14,0,0,156920
15,2020-09-15 09:45:00,7.14,7.14,7.12,7.12,0,0,94756
16,2020-09-15 09:46:00,7.12,7.13,7.11,7.11,0,0,330428
17,2020-09-15 09:47:00,7.12,7.12,7.11,7.11,0,0,60022
18,2020-09-15 09:48:00,7.11,7.12,7.1,7.1,0,0,123087
19,2020-09-15 09:49:00,7.11,7.11,7.08,7.09,0,0,291115
20,2020-09-15 09:50:00,7.09,7.11,7.09,7.1,0,0,128295
21,2020-09-15 09:51:00,7.1,7.1,7.09,7.1,0,0,119116
22,2020-09-15 09:52:00,7.09,7.1,7.08,7.09,0,0,210011
23,2020-09-15 09:53:00,7.09,7.09,7.07,7.07,0,0,140029
24,2020-09-15 09:54:00,7.07,7.09,7.07,7.09,0,0,257640
25,2020-09-15 09:55:00,7.09,7.09,7.07,7.07,0,0,109419
26,2020-09-15 09:56:00,7.07,7.08,7.07,7.08,0,0,228165
27,2020-09-15 09:57:00,7.07,7.08,7.06,7.06,0,0,95029
28,2020-09-15 09:58:00,7.07,7.07,7.06,7.07,0,0,47339
29,2020-09-15 09:59:00,7.07,7.07,7.04,7.05,0,0,430698
30,2020-09-15 10:00:00,7.05,7.06,7.03,7.05,0,0,353976
31,2020-09-15 10:01:00,7.04,7.07,7.04,7.06,0,0,331686
32,2020-09-15 10:02:00,7.06,7.08,7.06,7.07,0,0,145326
33,2020-09-15 10:03:00,7.07,7.08,7.06,7.06,0,0,68595
34,2020-09-15 10:04:00,7.06,7.07,7.06,7.06,0,0,43932
35,2020-09-15 10:05:00,7.06,7.07,7.05,7.07,0,0,136024
36,2020-09-15 10:06:00,7.06,7.07,7.05,7.07,0,0,109433
37,2020-09-15 10:07:00,7.06,7.07,7.05,7.06,0,0,78367
38,2020-09-15 10:08:00,7.06,7.06,7.05,7.05,0,0,89122
39,2020-09-15 10:09:00,7.06,7.07,7.05,7.06,0,0,104380
40,2020-09-15 10:10:00,7.06,7.07,7.04,7.05,0,0,174695
41,2020-09-15 10:11:00,7.05,7.06,7.04,7.06,0,0,58015
42,2020-09-15 10:12:00,7.06,7.07,7.05,7.06,0,0,82056
43,2020-09-15 10:13:00,7.07,7.08,7.06,7.07,0,0,270956
44,2020-09-15 10:14:00,7.07,7.08,7.07,7.07,0,0,296569
45,2020-09-15 10:15:00,7.07,7.08,7.07,7.07,0,0,44884
46,2020-09-15 10:16:00,7.07,7.09,7.07,7.09,0,0,261677
47,2020-09-15 10:17:00,7.09,7.1,7.08,7.09,0,0,175314
48,2020-09-15 10:18:00,7.09,7.1,7.08,7.1,0,0,576362
49,2020-09-15 10:19:00,7.09,7.1,7.08,7.09,0,0,2086615
50,2020-09-15 10:20:00,7.09,7.1,7.08,7.09,0,0,298390
51,2020-09-15 10:21:00,7.1,7.1,7.08,7.08,0,0,474223
52,2020-09-15 10:22:00,7.08,7.09,7.07,7.07,0,0,596526
53,2020-09-15 10:23:00,7.07,7.08,7.07,7.07,0,0,1700503
54,2020-09-15 10:24:00,7.07,7.07,7.05,7.05,0,0,682208
55,2020-09-15 10:25:00,7.05,7.07,7.05,7.07,0,0,187850
56,2020-09-15 10:26:00,7.07,7.07,7.05,7.06,0,0,287980
57,2020-09-15 10:27:00,7.06,7.06,7.05,7.05,0,0,76058
58,2020-09-15 10:28:00,7.06,7.07,7.05,7.07,0,0,129338
59,2020-09-15 10:29:00,7.07,7.07,7.06,7.07,0,0,82331
60,2020-09-15 10:30:00,7.07,7.08,7.05,7.05,0,0,593776
61,2020-09-15 10:31:00,7.06,7.06,7.05,7.06,0,0,443466
62,2020-09-15 10:32:00,7.05,7.07,7.05,7.06,0,0,389564
63,2020-09-15 10:33:00,7.05,7.07,7.05,7.07,0,0,147972
64,2020-09-15 10:34:00,7.06,7.07,7.05,7.05,0,0,307166
65,2020-09-15 10:35:00,7.06,7.07,7.05,7.07,0,0,524629
66,2020-09-15 10:36:00,7.07,7.08,7.07,7.07,0,0,671340
67,2020-09-15 10:37:00,7.08,7.09,7.07,7.09,0,0,959508
68,2020-09-15 10:38:00,7.08,7.09,7.08,7.09,0,0,22429
69,2020-09-15 10:39:00,7.09,7.09,7.07,7.07,0,0,274711
70,2020-09-15 10:40:00,7.08,7.09,7.07,7.09,0,0,1672326
71,2020-09-15 10:41:00,7.09,7.1,7.08,7.09,0,0,1655477
72,2020-09-15 10:42:00,7.09,7.11,7.08,7.1,0,0,1502090
73,2020-09-15 10:43:00,7.09,7.1,7.09,7.09,0,0,121727
74,2020-09-15 10:44:00,7.09,7.1,7.08,7.09,0,0,53110
75,2020-09-15 10:45:00,7.09,7.1,7.09,7.09,0,0,146300
76,2020-09-15 10:46:00,7.09,7.11,7.09,7.11,0,0,240068
77,2020-09-15 10:47:00,7.11,7.12,7.1,7.11,0,0,167998
78,2020-09-15 10:48:00,7.11,7.14,7.11,7.13,0,0,2127490
79,2020-09-15 10:49:00,7.12,7.13,7.11,7.12,0,0,129873
80,2020-09-15 10:50:00,7.12,7.12,7.11,7.11,0,0,51545
81,2020-09-15 10:51:00,7.11,7.11,7.11,7.11,0,0,9789
82,2020-09-15 10:53:00,7.11,7.13,7.11,7.12,0,0,219751
83,2020-09-15 10:54:00,7.12,7.13,7.12,7.12,0,0,19810
84,2020-09-15 10:55:00,7.12,7.13,7.12,7.12,0,0,35172
85,2020-09-15 10:56:00,7.12,7.13,7.12,7.12,0,0,16841
86,2020-09-15 10:57:00,7.12,7.13,7.12,7.13,0,0,89879
87,2020-09-15 10:58:00,7.12,7.13,7.12,7.12,0,0,74594
88,2020-09-15 10:59:00,7.12,7.14,7.12,7.14,0,0,234063
89,2020-09-15 11:00:00,7.14,7.14,7.13,7.14,0,0,428690
90,2020-09-15 11:01:00,7.13,7.14,7.13,7.14,0,0,63806
91,2020-09-15 11:02:00,7.14,7.14,7.13,7.13,0,0,138872
92,2020-09-15 11:03:00,7.13,7.15,7.13,7.14,0,0,225922
93,2020-09-15 11:04:00,7.14,7.15,7.14,7.14,0,0,147963
94,2020-09-15 11:05:00,7.14,7.15,7.14,7.14,0,0,87129
95,2020-09-15 11:06:00,7.14,7.15,7.14,7.15,0,0,43279
96,2020-09-15 11:07:00,7.14,7.15,7.13,7.14,0,0,631651
97,2020-09-15 11:08:00,7.14,7.14,7.13,7.14,0,0,113986
98,2020-09-15 11:09:00,7.14,7.15,7.13,7.14,0,0,129824
99,2020-09-15 11:10:00,7.14,7.14,7.13,7.14,0,0,38228
100,2020-09-15 11:11:00,7.14,7.14,7.13,7.14,0,0,32436
101,2020-09-15 11:12:00,7.14,7.14,7.13,7.14,0,0,25228
102,2020-09-15 11:13:00,7.14,7.14,7.13,7.14,0,0,38426
103,2020-09-15 11:14:00,7.14,7.14,7.13,7.14,0,0,59009
104,2020-09-15 11:15:00,7.14,7.14,7.13,7.13,0,0,75418
105,2020-09-15 11:16:00,7.14,7.14,7.13,7.14,0,0,35987
106,2020-09-15 11:17:00,7.14,7.14,7.13,7.14,0,0,7552
107,2020-09-15 11:18:00,7.14,7.14,7.13,7.14,0,0,83950
108,2020-09-15 11:19:00,7.14,7.15,7.13,7.14,0,0,106286
109,2020-09-15 11:20:00,7.14,7.15,7.14,7.14,0,0,53939
110,2020-09-15 11:21:00,7.14,7.17,7.14,7.16,0,0,1573630
111,2020-09-15 11:22:00,7.16,7.17,7.15,7.15,0,0,1587722
112,2020-09-15 11:23:00,7.15,7.16,7.15,7.15,0,0,22168
113,2020-09-15 11:24:00,7.15,7.16,7.15,7.15,0,0,77388
