,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,16.61,16.67,16.6,16.61,0,0,101193
1,2020-09-15 09:31:00,16.61,16.65,16.6,16.61,0,0,374232
2,2020-09-15 09:32:00,16.63,16.63,16.49,16.5,0,0,135607
3,2020-09-15 09:33:00,16.51,16.58,16.51,16.57,0,0,109318
4,2020-09-15 09:34:00,16.58,16.6,16.57,16.58,0,0,91066
5,2020-09-15 09:35:00,16.57,16.58,16.49,16.49,0,0,96751
6,2020-09-15 09:36:00,16.49,16.58,16.49,16.56,0,0,114589
7,2020-09-15 09:37:00,16.58,16.58,16.53,16.55,0,0,59944
8,2020-09-15 09:38:00,16.55,16.58,16.53,16.58,0,0,54119
9,2020-09-15 09:39:00,16.59,16.6,16.55,16.56,0,0,70109
10,2020-09-15 09:40:00,16.55,16.61,16.54,16.6,0,0,91818
11,2020-09-15 09:41:00,16.6,16.65,16.6,16.64,0,0,143837
12,2020-09-15 09:42:00,16.65,16.66,16.6,16.61,0,0,169158
13,2020-09-15 09:43:00,16.61,16.66,16.6,16.66,0,0,58431
14,2020-09-15 09:44:00,16.66,16.68,16.63,16.64,0,0,86619
15,2020-09-15 09:45:00,16.63,16.64,16.61,16.64,0,0,63291
16,2020-09-15 09:46:00,16.64,16.68,16.63,16.68,0,0,98242
17,2020-09-15 09:47:00,16.68,16.69,16.65,16.65,0,0,127565
18,2020-09-15 09:48:00,16.65,16.66,16.59,16.59,0,0,199662
19,2020-09-15 09:49:00,16.59,16.61,16.57,16.59,0,0,92932
20,2020-09-15 09:50:00,16.59,16.6,16.57,16.58,0,0,36768
21,2020-09-15 09:51:00,16.58,16.59,16.55,16.58,0,0,87552
22,2020-09-15 09:52:00,16.58,16.59,16.57,16.59,0,0,38894
23,2020-09-15 09:53:00,16.58,16.6,16.58,16.59,0,0,43621
24,2020-09-15 09:54:00,16.59,16.6,16.58,16.6,0,0,114023
25,2020-09-15 09:55:00,16.6,16.6,16.57,16.59,0,0,99656
26,2020-09-15 09:56:00,16.58,16.6,16.58,16.59,0,0,64815
27,2020-09-15 09:57:00,16.6,16.6,16.58,16.59,0,0,63524
28,2020-09-15 09:58:00,16.58,16.6,16.58,16.59,0,0,139493
29,2020-09-15 09:59:00,16.6,16.6,16.58,16.58,0,0,54157
30,2020-09-15 10:00:00,16.59,16.6,16.58,16.59,0,0,55782
31,2020-09-15 10:01:00,16.59,16.6,16.58,16.58,0,0,23312
32,2020-09-15 10:02:00,16.58,16.58,16.54,16.55,0,0,62188
33,2020-09-15 10:03:00,16.56,16.56,16.53,16.55,0,0,87164
34,2020-09-15 10:04:00,16.55,16.58,16.55,16.58,0,0,30863
35,2020-09-15 10:05:00,16.57,16.58,16.57,16.57,0,0,38934
36,2020-09-15 10:06:00,16.57,16.58,16.53,16.54,0,0,33706
37,2020-09-15 10:07:00,16.53,16.54,16.51,16.51,0,0,39268
38,2020-09-15 10:08:00,16.51,16.55,16.49,16.49,0,0,225212
39,2020-09-15 10:09:00,16.49,16.51,16.49,16.49,0,0,110184
40,2020-09-15 10:10:00,16.5,16.5,16.49,16.5,0,0,51696
41,2020-09-15 10:11:00,16.5,16.53,16.5,16.52,0,0,69422
42,2020-09-15 10:12:00,16.51,16.55,16.51,16.54,0,0,110575
43,2020-09-15 10:13:00,16.53,16.54,16.5,16.51,0,0,35358
44,2020-09-15 10:14:00,16.52,16.53,16.51,16.51,0,0,11574
45,2020-09-15 10:15:00,16.51,16.51,16.49,16.5,0,0,37395
46,2020-09-15 10:16:00,16.5,16.51,16.49,16.51,0,0,24169
47,2020-09-15 10:17:00,16.51,16.53,16.51,16.53,0,0,20352
48,2020-09-15 10:18:00,16.53,16.57,16.52,16.57,0,0,17987
49,2020-09-15 10:19:00,16.56,16.58,16.55,16.57,0,0,31495
50,2020-09-15 10:20:00,16.56,16.56,16.55,16.55,0,0,15077
51,2020-09-15 10:21:00,16.55,16.56,16.52,16.52,0,0,24577
52,2020-09-15 10:22:00,16.52,16.52,16.5,16.5,0,0,17393
53,2020-09-15 10:23:00,16.5,16.52,16.5,16.52,0,0,11008
54,2020-09-15 10:24:00,16.52,16.53,16.51,16.52,0,0,31506
55,2020-09-15 10:25:00,16.52,16.53,16.52,16.53,0,0,35717
56,2020-09-15 10:26:00,16.52,16.53,16.52,16.52,0,0,9378
57,2020-09-15 10:27:00,16.52,16.57,16.52,16.56,0,0,93137
58,2020-09-15 10:28:00,16.56,16.58,16.56,16.58,0,0,14900
59,2020-09-15 10:29:00,16.57,16.59,16.57,16.58,0,0,63295
60,2020-09-15 10:30:00,16.59,16.59,16.56,16.58,0,0,17638
61,2020-09-15 10:31:00,16.58,16.58,16.57,16.58,0,0,20407
62,2020-09-15 10:32:00,16.59,16.59,16.58,16.58,0,0,8474
63,2020-09-15 10:33:00,16.59,16.59,16.58,16.59,0,0,9475
64,2020-09-15 10:34:00,16.59,16.6,16.59,16.6,0,0,8854
65,2020-09-15 10:35:00,16.6,16.6,16.59,16.59,0,0,133028
66,2020-09-15 10:36:00,16.6,16.6,16.58,16.59,0,0,40335
67,2020-09-15 10:37:00,16.59,16.59,16.58,16.58,0,0,11715
68,2020-09-15 10:38:00,16.57,16.58,16.57,16.58,0,0,8204
69,2020-09-15 10:39:00,16.58,16.58,16.55,16.56,0,0,26389
70,2020-09-15 10:40:00,16.55,16.55,16.53,16.54,0,0,33036
71,2020-09-15 10:41:00,16.54,16.55,16.53,16.53,0,0,28520
72,2020-09-15 10:42:00,16.54,16.55,16.53,16.53,0,0,26660
73,2020-09-15 10:43:00,16.53,16.53,16.51,16.51,0,0,33993
74,2020-09-15 10:44:00,16.51,16.52,16.5,16.5,0,0,66547
75,2020-09-15 10:45:00,16.51,16.51,16.49,16.5,0,0,46266
76,2020-09-15 10:46:00,16.5,16.55,16.5,16.54,0,0,18075
77,2020-09-15 10:47:00,16.54,16.55,16.53,16.55,0,0,13733
78,2020-09-15 10:48:00,16.55,16.55,16.54,16.55,0,0,26257
79,2020-09-15 10:49:00,16.54,16.54,16.53,16.53,0,0,62124
80,2020-09-15 10:50:00,16.53,16.55,16.53,16.55,0,0,18398
81,2020-09-15 10:51:00,16.55,16.55,16.55,16.55,0,0,460
82,2020-09-15 10:53:00,16.56,16.58,16.56,16.58,0,0,72718
83,2020-09-15 10:54:00,16.58,16.58,16.56,16.57,0,0,21144
84,2020-09-15 10:55:00,16.56,16.57,16.55,16.56,0,0,10320
85,2020-09-15 10:56:00,16.55,16.57,16.55,16.57,0,0,19111
86,2020-09-15 10:57:00,16.56,16.57,16.56,16.56,0,0,9476
87,2020-09-15 10:58:00,16.56,16.56,16.55,16.56,0,0,4462
88,2020-09-15 10:59:00,16.56,16.58,16.56,16.58,0,0,37443
89,2020-09-15 11:00:00,16.58,16.58,16.56,16.57,0,0,81942
90,2020-09-15 11:01:00,16.56,16.57,16.56,16.57,0,0,7133
91,2020-09-15 11:02:00,16.56,16.57,16.55,16.57,0,0,26872
92,2020-09-15 11:03:00,16.57,16.58,16.56,16.58,0,0,18552
93,2020-09-15 11:04:00,16.58,16.58,16.56,16.57,0,0,12472
94,2020-09-15 11:05:00,16.57,16.57,16.56,16.57,0,0,12159
95,2020-09-15 11:06:00,16.56,16.58,16.56,16.58,0,0,14066
96,2020-09-15 11:07:00,16.58,16.58,16.57,16.58,0,0,23118
97,2020-09-15 11:08:00,16.58,16.58,16.56,16.57,0,0,66996
98,2020-09-15 11:09:00,16.57,16.58,16.56,16.58,0,0,20853
99,2020-09-15 11:10:00,16.58,16.58,16.57,16.58,0,0,8964
100,2020-09-15 11:11:00,16.57,16.58,16.57,16.57,0,0,37515
101,2020-09-15 11:12:00,16.57,16.57,16.57,16.57,0,0,984
102,2020-09-15 11:13:00,16.56,16.59,16.56,16.58,0,0,41826
103,2020-09-15 11:14:00,16.57,16.58,16.57,16.58,0,0,58303
104,2020-09-15 11:15:00,16.58,16.58,16.57,16.58,0,0,12412
105,2020-09-15 11:16:00,16.58,16.58,16.57,16.57,0,0,10610
106,2020-09-15 11:17:00,16.57,16.58,16.57,16.58,0,0,27213
107,2020-09-15 11:18:00,16.57,16.58,16.57,16.58,0,0,4452
108,2020-09-15 11:19:00,16.57,16.58,16.57,16.58,0,0,11487
109,2020-09-15 11:20:00,16.58,16.58,16.56,16.57,0,0,8010
110,2020-09-15 11:21:00,16.56,16.58,16.56,16.57,0,0,11387
111,2020-09-15 11:22:00,16.58,16.58,16.57,16.58,0,0,36207
112,2020-09-15 11:23:00,16.58,16.59,16.57,16.58,0,0,106822
113,2020-09-15 11:24:00,16.58,16.58,16.57,16.57,0,0,22738
114,2020-09-15 11:25:00,16.58,16.58,16.56,16.58,0,0,26792
115,2020-09-15 11:26:00,16.58,16.58,16.56,16.56,0,0,13908
116,2020-09-15 11:27:00,16.56,16.58,16.56,16.58,0,0,29088
117,2020-09-15 11:28:00,16.58,16.58,16.58,16.58,0,0,16918
118,2020-09-15 11:29:00,16.58,16.58,16.57,16.57,0,0,33750
119,2020-09-15 11:30:00,16.57,16.58,16.57,16.57,0,0,138753
120,2020-09-15 11:31:00,16.56,16.58,16.56,16.58,0,0,58506
121,2020-09-15 11:32:00,16.58,16.58,16.57,16.58,0,0,40601
122,2020-09-15 11:33:00,16.57,16.58,16.57,16.58,0,0,12474
123,2020-09-15 11:34:00,16.58,16.58,16.57,16.58,0,0,18282
124,2020-09-15 11:35:00,16.58,16.58,16.58,16.58,0,0,9796
125,2020-09-15 11:36:00,16.58,16.58,16.58,16.58,0,0,6123
126,2020-09-15 11:37:00,16.58,16.58,16.56,16.56,0,0,71610
127,2020-09-15 11:38:00,16.57,16.58,16.57,16.57,0,0,45067
128,2020-09-15 11:39:00,16.58,16.58,16.57,16.57,0,0,21939
129,2020-09-15 11:40:00,16.58,16.58,16.57,16.58,0,0,30961
130,2020-09-15 11:41:00,16.57,16.58,16.57,16.57,0,0,5494
131,2020-09-15 11:42:00,16.58,16.58,16.56,16.56,0,0,22162
132,2020-09-15 11:43:00,16.56,16.57,16.55,16.56,0,0,33570
133,2020-09-15 11:44:00,16.56,16.57,16.55,16.55,0,0,29695
134,2020-09-15 11:45:00,16.55,16.55,16.53,16.53,0,0,14755
135,2020-09-15 11:46:00,16.54,16.56,16.54,16.56,0,0,25809
136,2020-09-15 11:47:00,16.56,16.57,16.55,16.57,0,0,15282
137,2020-09-15 11:48:00,16.57,16.58,16.57,16.58,0,0,6909
138,2020-09-15 11:49:00,16.58,16.58,16.58,16.58,0,0,7204
139,2020-09-15 11:50:00,16.58,16.58,16.56,16.57,0,0,47578
140,2020-09-15 11:51:00,16.57,16.57,16.56,16.57,0,0,4478
141,2020-09-15 11:52:00,16.56,16.58,16.56,16.58,0,0,18752
142,2020-09-15 11:53:00,16.58,16.58,16.56,16.56,0,0,16105
143,2020-09-15 11:54:00,16.57,16.58,16.57,16.58,0,0,93436
144,2020-09-15 11:55:00,16.58,16.58,16.57,16.58,0,0,16502
145,2020-09-15 11:56:00,16.58,16.58,16.57,16.58,0,0,7371
146,2020-09-15 11:57:00,16.58,16.58,16.56,16.57,0,0,42560
147,2020-09-15 11:58:00,16.57,16.57,16.56,16.57,0,0,8204
148,2020-09-15 11:59:00,16.57,16.57,16.56,16.57,0,0,10758
149,2020-09-15 12:00:00,16.57,16.58,16.56,16.58,0,0,20964
150,2020-09-15 12:01:00,16.58,16.58,16.57,16.58,0,0,88507
151,2020-09-15 12:02:00,16.58,16.58,16.57,16.58,0,0,9868
152,2020-09-15 12:03:00,16.57,16.58,16.57,16.58,0,0,102627
153,2020-09-15 12:04:00,16.58,16.58,16.57,16.58,0,0,20210
154,2020-09-15 12:05:00,16.57,16.58,16.57,16.58,0,0,76119
155,2020-09-15 12:06:00,16.58,16.6,16.57,16.59,0,0,144280
156,2020-09-15 12:07:00,16.6,16.61,16.58,16.58,0,0,231145
157,2020-09-15 12:08:00,16.58,16.59,16.58,16.59,0,0,16789
