,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,49.79,49.99,49.73,49.99,0,0,718948
1,2020-09-15 09:31:00,49.99,50.09,49.99,50.01,0,0,494845
2,2020-09-15 09:32:00,50.01,50.16,50.01,50.1,0,0,263200
3,2020-09-15 09:33:00,50.1,50.17,50.07,50.09,0,0,149760
4,2020-09-15 09:34:00,50.09,50.12,50.03,50.04,0,0,128786
5,2020-09-15 09:35:00,50.05,50.16,50.04,50.16,0,0,133906
6,2020-09-15 09:36:00,50.16,50.23,50.16,50.19,0,0,143558
7,2020-09-15 09:37:00,50.19,50.21,50.06,50.11,0,0,105477
8,2020-09-15 09:38:00,50.11,50.21,50.1,50.19,0,0,124766
9,2020-09-15 09:39:00,50.21,50.22,50.16,50.19,0,0,119222
10,2020-09-15 09:40:00,50.2,50.22,50.16,50.21,0,0,102325
11,2020-09-15 09:41:00,50.21,50.3,50.21,50.27,0,0,150031
12,2020-09-15 09:42:00,50.26,50.27,50.17,50.18,0,0,104794
13,2020-09-15 09:43:00,50.19,50.21,50.13,50.15,0,0,111847
14,2020-09-15 09:44:00,50.15,50.19,50.12,50.14,0,0,63938
15,2020-09-15 09:45:00,50.08,50.15,50.04,50.05,0,0,107965
16,2020-09-15 09:46:00,50.04,50.11,50.03,50.08,0,0,103615
17,2020-09-15 09:47:00,50.08,50.1,50.05,50.08,0,0,99147
18,2020-09-15 09:48:00,50.08,50.1,50.06,50.06,0,0,64159
19,2020-09-15 09:49:00,50.03,50.07,49.96,49.97,0,0,76178
20,2020-09-15 09:50:00,49.96,50.0,49.94,49.99,0,0,59300
21,2020-09-15 09:51:00,49.97,50.0,49.96,49.97,0,0,54425
22,2020-09-15 09:52:00,49.96,50.0,49.93,49.94,0,0,93696
23,2020-09-15 09:53:00,49.94,49.97,49.93,49.96,0,0,56033
24,2020-09-15 09:54:00,49.96,49.98,49.88,49.88,0,0,69621
25,2020-09-15 09:55:00,49.89,49.9,49.83,49.85,0,0,62827
26,2020-09-15 09:56:00,49.84,49.94,49.84,49.94,0,0,85732
