,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,208.42,208.64,207.9,208.18,0,0,1001179
1,2020-09-15 09:31:00,208.23,208.55,207.92,208.26,0,0,100899
2,2020-09-15 09:32:00,208.26,208.86,208.18,208.39,0,0,148654
3,2020-09-15 09:33:00,208.38,208.85,208.33,208.73,0,0,110395
4,2020-09-15 09:34:00,208.78,209.18,208.65,209.18,0,0,212768
5,2020-09-15 09:35:00,209.2,209.78,209.2,209.5,0,0,236274
6,2020-09-15 09:36:00,209.49,209.61,209.17,209.19,0,0,133655
7,2020-09-15 09:37:00,209.49,209.67,209.21,209.3,0,0,151128
8,2020-09-15 09:38:00,209.32,209.45,209.1,209.15,0,0,112951
9,2020-09-15 09:39:00,209.12,209.2,208.85,209.05,0,0,103942
10,2020-09-15 09:40:00,209.05,209.22,208.92,209.12,0,0,108583
11,2020-09-15 09:41:00,209.12,209.24,208.91,209.1,0,0,114861
12,2020-09-15 09:42:00,209.1,209.14,208.95,208.98,0,0,79156
13,2020-09-15 09:43:00,209.0,209.07,208.86,208.96,0,0,55406
14,2020-09-15 09:44:00,208.82,208.96,208.33,208.38,0,0,111389
15,2020-09-15 09:45:00,208.36,208.43,207.94,208.15,0,0,91175
16,2020-09-15 09:46:00,208.2,208.36,208.13,208.28,0,0,72996
17,2020-09-15 09:47:00,208.3,208.32,208.12,208.19,0,0,57104
18,2020-09-15 09:48:00,208.39,208.5,208.2,208.45,0,0,71663
19,2020-09-15 09:49:00,208.55,208.63,208.25,208.34,0,0,74645
20,2020-09-15 09:50:00,208.61,208.78,208.33,208.66,0,0,115100
21,2020-09-15 09:51:00,208.69,208.85,208.62,208.73,0,0,97005
22,2020-09-15 09:52:00,209.03,209.13,208.7,209.01,0,0,98175
23,2020-09-15 09:53:00,209.04,209.26,208.97,209.05,0,0,70613
24,2020-09-15 09:54:00,209.12,209.16,208.89,208.89,0,0,79063
25,2020-09-15 09:55:00,208.89,209.08,208.8,209.04,0,0,67668
26,2020-09-15 09:56:00,209.01,209.06,208.92,209.05,0,0,45889
27,2020-09-15 09:57:00,208.97,209.23,208.94,209.16,0,0,76887
28,2020-09-15 09:58:00,209.34,209.43,209.18,209.26,0,0,62857
29,2020-09-15 09:59:00,209.28,209.48,209.27,209.48,0,0,54745
30,2020-09-15 10:00:00,209.4,209.59,209.34,209.58,0,0,69975
31,2020-09-15 10:01:00,209.57,209.65,209.38,209.5,0,0,64121
32,2020-09-15 10:02:00,209.47,209.47,209.25,209.3,0,0,74414
33,2020-09-15 10:03:00,209.32,209.39,209.04,209.07,0,0,71972
34,2020-09-15 10:04:00,209.09,209.27,209.01,209.09,0,0,56223
35,2020-09-15 10:05:00,209.09,209.14,208.8,208.87,0,0,56437
36,2020-09-15 10:06:00,208.81,208.85,208.56,208.61,0,0,64895
37,2020-09-15 10:07:00,208.61,208.76,208.52,208.71,0,0,46405
38,2020-09-15 10:08:00,208.74,208.74,208.51,208.56,0,0,57042
39,2020-09-15 10:09:00,208.56,208.62,208.43,208.49,0,0,64969
40,2020-09-15 10:10:00,208.51,208.72,208.51,208.68,0,0,37506
41,2020-09-15 10:11:00,208.68,208.83,208.66,208.77,0,0,40990
42,2020-09-15 10:12:00,208.79,208.88,208.36,208.37,0,0,53541
43,2020-09-15 10:13:00,208.36,208.39,208.12,208.26,0,0,76944
44,2020-09-15 10:14:00,208.3,208.37,208.03,208.09,0,0,63811
45,2020-09-15 10:15:00,208.1,208.23,207.82,207.83,0,0,60053
46,2020-09-15 10:16:00,207.89,208.1,207.89,208.02,0,0,44090
47,2020-09-15 10:17:00,208.0,208.08,207.92,208.06,0,0,42890
48,2020-09-15 10:18:00,208.05,208.07,207.82,207.95,0,0,44841
49,2020-09-15 10:19:00,207.96,208.07,207.9,207.9,0,0,52674
50,2020-09-15 10:20:00,207.89,208.19,207.89,208.12,0,0,50167
51,2020-09-15 10:21:00,208.17,208.18,207.91,207.91,0,0,36181
52,2020-09-15 10:22:00,207.91,207.98,207.81,207.94,0,0,40503
53,2020-09-15 10:23:00,207.97,208.25,207.9,208.1,0,0,64418
54,2020-09-15 10:24:00,208.07,208.07,207.52,207.75,0,0,72411
55,2020-09-15 10:25:00,207.7,207.89,207.67,207.76,0,0,41675
56,2020-09-15 10:26:00,207.74,207.84,207.54,207.77,0,0,39980
57,2020-09-15 10:27:00,207.78,207.94,207.73,207.89,0,0,24823
58,2020-09-15 10:28:00,207.9,208.06,207.84,208.03,0,0,26399
59,2020-09-15 10:29:00,208.01,208.15,207.96,208.08,0,0,26656
60,2020-09-15 10:30:00,208.12,208.17,207.96,208.03,0,0,31722
61,2020-09-15 10:31:00,208.05,208.09,207.93,208.09,0,0,24601
62,2020-09-15 10:32:00,208.09,208.09,207.91,208.02,0,0,18251
63,2020-09-15 10:33:00,207.99,208.03,207.86,207.95,0,0,20449
64,2020-09-15 10:34:00,207.94,208.08,207.84,208.08,0,0,27514
65,2020-09-15 10:35:00,208.07,208.25,208.06,208.23,0,0,53266
66,2020-09-15 10:36:00,208.24,208.24,208.06,208.07,0,0,30778
67,2020-09-15 10:37:00,208.06,208.15,208.02,208.13,0,0,24597
68,2020-09-15 10:38:00,208.12,208.16,207.82,207.88,0,0,35923
69,2020-09-15 10:39:00,207.88,207.9,207.57,207.71,0,0,40958
70,2020-09-15 10:40:00,207.7,207.71,207.35,207.45,0,0,52487
71,2020-09-15 10:41:00,207.43,207.5,207.3,207.35,0,0,32866
72,2020-09-15 10:42:00,207.38,207.4,207.21,207.33,0,0,38587
73,2020-09-15 10:43:00,207.3,207.33,207.08,207.14,0,0,56997
74,2020-09-15 10:44:00,207.15,207.2,206.93,207.18,0,0,70860
75,2020-09-15 10:45:00,207.2,207.32,207.04,207.18,0,0,55682
76,2020-09-15 10:46:00,207.22,207.26,207.09,207.22,0,0,55188
77,2020-09-15 10:47:00,207.25,207.3,207.13,207.3,0,0,38353
78,2020-09-15 10:48:00,207.29,207.35,207.23,207.3,0,0,29627
79,2020-09-15 10:49:00,207.25,207.41,207.24,207.41,0,0,41395
80,2020-09-15 10:50:00,207.41,207.52,207.34,207.46,0,0,43380
81,2020-09-15 10:51:00,207.46,207.51,207.43,207.43,0,0,3046
