,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,119.7,119.79,119.22,119.39,0,0,208875
1,2020-09-15 09:31:00,119.49,119.56,119.18,119.24,0,0,82676
2,2020-09-15 09:32:00,119.27,119.89,119.22,119.87,0,0,42613
3,2020-09-15 09:33:00,119.84,120.1,119.81,119.95,0,0,121280
4,2020-09-15 09:34:00,119.97,120.06,119.82,119.82,0,0,11609
5,2020-09-15 09:35:00,119.86,119.95,119.78,119.82,0,0,15733
6,2020-09-15 09:36:00,119.78,120.06,119.72,119.96,0,0,15609
7,2020-09-15 09:37:00,119.99,119.99,119.82,119.83,0,0,12375
8,2020-09-15 09:38:00,119.81,119.86,119.72,119.74,0,0,13010
9,2020-09-15 09:39:00,119.74,119.77,119.49,119.53,0,0,9109
10,2020-09-15 09:40:00,119.49,119.73,119.49,119.61,0,0,17862
11,2020-09-15 09:41:00,119.6,119.81,119.6,119.81,0,0,7659
12,2020-09-15 09:42:00,119.8,119.89,119.76,119.85,0,0,15521
13,2020-09-15 09:43:00,119.86,119.96,119.8,119.88,0,0,15369
14,2020-09-15 09:44:00,119.87,119.92,119.84,119.85,0,0,15639
15,2020-09-15 09:45:00,119.87,119.93,119.82,119.89,0,0,56618
16,2020-09-15 09:46:00,119.87,119.87,119.69,119.7,0,0,29445
17,2020-09-15 09:47:00,119.7,119.78,119.65,119.71,0,0,12622
18,2020-09-15 09:48:00,119.72,119.75,119.51,119.64,0,0,18358
19,2020-09-15 09:49:00,119.64,119.68,119.58,119.59,0,0,15874
20,2020-09-15 09:50:00,119.57,119.67,119.56,119.56,0,0,14094
21,2020-09-15 09:51:00,119.56,119.69,119.55,119.67,0,0,9766
22,2020-09-15 09:52:00,119.67,119.79,119.66,119.79,0,0,29244
23,2020-09-15 09:53:00,119.78,119.85,119.76,119.83,0,0,19611
24,2020-09-15 09:54:00,119.82,119.9,119.65,119.68,0,0,48608
25,2020-09-15 09:55:00,119.69,119.77,119.66,119.71,0,0,16843
26,2020-09-15 09:56:00,119.74,119.76,119.66,119.76,0,0,19041
27,2020-09-15 09:57:00,119.76,119.77,119.61,119.67,0,0,30819
28,2020-09-15 09:58:00,119.72,119.75,119.66,119.67,0,0,19087
29,2020-09-15 09:59:00,119.66,119.72,119.62,119.72,0,0,18511
30,2020-09-15 10:00:00,119.71,119.75,119.57,119.65,0,0,30634
31,2020-09-15 10:01:00,119.67,119.77,119.67,119.72,0,0,20943
32,2020-09-15 10:02:00,119.73,119.83,119.73,119.8,0,0,33999
33,2020-09-15 10:03:00,119.79,119.81,119.73,119.73,0,0,15508
34,2020-09-15 10:04:00,119.75,119.87,119.7,119.7,0,0,25485
35,2020-09-15 10:05:00,119.71,119.86,119.68,119.78,0,0,17022
36,2020-09-15 10:06:00,119.78,119.78,119.43,119.66,0,0,32305
37,2020-09-15 10:07:00,119.69,119.82,119.67,119.75,0,0,7011
38,2020-09-15 10:08:00,119.74,119.76,119.65,119.7,0,0,12197
39,2020-09-15 10:09:00,119.69,119.72,119.61,119.68,0,0,11008
40,2020-09-15 10:10:00,119.7,119.74,119.66,119.67,0,0,19778
41,2020-09-15 10:11:00,119.68,119.77,119.68,119.75,0,0,9972
42,2020-09-15 10:12:00,119.75,119.75,119.49,119.52,0,0,14341
43,2020-09-15 10:13:00,119.49,119.56,119.48,119.56,0,0,14717
44,2020-09-15 10:14:00,119.58,119.87,119.58,119.84,0,0,24350
45,2020-09-15 10:15:00,119.83,119.91,119.83,119.85,0,0,15536
46,2020-09-15 10:16:00,119.87,119.89,119.83,119.88,0,0,15178
47,2020-09-15 10:17:00,119.89,119.93,119.83,119.91,0,0,11881
48,2020-09-15 10:18:00,119.92,120.09,119.85,120.05,0,0,31315
49,2020-09-15 10:19:00,120.06,120.24,120.05,120.16,0,0,19192
50,2020-09-15 10:20:00,120.23,120.35,120.17,120.32,0,0,17059
51,2020-09-15 10:21:00,120.34,120.34,120.17,120.2,0,0,16164
52,2020-09-15 10:22:00,120.19,120.23,120.15,120.19,0,0,7931
53,2020-09-15 10:23:00,120.17,120.21,120.06,120.07,0,0,11975
54,2020-09-15 10:24:00,120.06,120.06,119.91,119.91,0,0,9295
55,2020-09-15 10:25:00,119.88,119.88,119.78,119.86,0,0,8043
56,2020-09-15 10:26:00,119.87,120.0,119.87,119.99,0,0,9146
57,2020-09-15 10:27:00,119.98,120.06,119.93,120.03,0,0,6989
58,2020-09-15 10:28:00,120.04,120.08,119.99,120.04,0,0,7067
59,2020-09-15 10:29:00,120.03,120.1,120.02,120.08,0,0,5611
60,2020-09-15 10:30:00,120.08,120.13,119.99,120.02,0,0,14302
61,2020-09-15 10:31:00,120.05,120.07,119.96,119.96,0,0,7561
62,2020-09-15 10:32:00,119.97,120.15,119.97,120.15,0,0,11904
63,2020-09-15 10:33:00,120.14,120.32,120.1,120.31,0,0,29850
64,2020-09-15 10:34:00,120.32,120.32,120.13,120.15,0,0,21878
