,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,33.0,33.07,32.35,32.52,0,0,2984961
1,2020-09-15 09:31:00,32.53,32.86,32.15,32.22,0,0,455905
2,2020-09-15 09:32:00,32.21,32.33,32.06,32.25,0,0,589703
3,2020-09-15 09:33:00,32.29,32.74,32.23,32.72,0,0,394564
4,2020-09-15 09:34:00,32.72,32.98,32.71,32.9,0,0,399413
5,2020-09-15 09:35:00,32.75,32.92,32.6,32.81,0,0,359305
6,2020-09-15 09:36:00,32.77,32.82,32.6,32.6,0,0,225228
7,2020-09-15 09:37:00,32.61,32.75,32.52,32.71,0,0,249465
8,2020-09-15 09:38:00,33.45,33.48,32.71,33.45,0,0,528765
9,2020-09-15 09:39:00,33.46,34.22,33.43,34.17,0,0,642062
10,2020-09-15 09:40:00,34.27,34.29,33.9,34.0,0,0,553870
11,2020-09-15 09:41:00,33.94,34.04,33.6,33.83,0,0,380434
12,2020-09-15 09:42:00,33.95,34.5,33.68,34.4,0,0,402578
13,2020-09-15 09:43:00,34.39,34.56,34.31,34.39,0,0,554051
14,2020-09-15 09:44:00,34.39,34.48,33.86,33.89,0,0,395049
15,2020-09-15 09:45:00,33.9,34.27,33.87,34.11,0,0,347053
16,2020-09-15 09:46:00,34.19,34.2,33.92,34.03,0,0,213667
17,2020-09-15 09:47:00,34.05,34.24,34.01,34.04,0,0,273099
18,2020-09-15 09:48:00,34.01,34.03,33.46,33.58,0,0,344629
19,2020-09-15 09:49:00,33.7,33.89,33.59,33.77,0,0,229803
20,2020-09-15 09:50:00,33.8,34.0,33.76,33.81,0,0,227759
21,2020-09-15 09:51:00,33.85,33.86,33.61,33.64,0,0,144977
22,2020-09-15 09:52:00,33.73,33.8,33.61,33.65,0,0,137859
23,2020-09-15 09:53:00,33.42,33.64,33.2,33.37,0,0,294520
24,2020-09-15 09:54:00,33.44,33.46,33.3,33.33,0,0,225613
25,2020-09-15 09:55:00,33.34,33.5,33.32,33.46,0,0,223827
26,2020-09-15 09:56:00,33.65,33.8,33.38,33.71,0,0,248787
27,2020-09-15 09:57:00,33.69,33.88,33.69,33.76,0,0,226444
28,2020-09-15 09:58:00,33.75,34.1,33.74,33.96,0,0,283541
29,2020-09-15 09:59:00,33.99,34.18,33.92,34.13,0,0,204044
30,2020-09-15 10:00:00,34.13,34.19,33.75,33.88,0,0,239895
31,2020-09-15 10:01:00,33.8,34.1,33.8,34.04,0,0,168134
32,2020-09-15 10:02:00,34.05,34.05,33.81,33.89,0,0,125028
33,2020-09-15 10:03:00,33.86,33.87,33.7,33.74,0,0,152020
34,2020-09-15 10:04:00,33.74,33.98,33.71,33.9,0,0,155217
35,2020-09-15 10:05:00,33.92,33.95,33.81,33.85,0,0,130599
36,2020-09-15 10:06:00,33.83,33.94,33.8,33.92,0,0,81303
37,2020-09-15 10:07:00,33.93,34.0,33.85,33.89,0,0,187512
38,2020-09-15 10:08:00,33.86,34.34,33.86,34.2,0,0,481918
39,2020-09-15 10:09:00,34.15,34.66,34.11,34.59,0,0,564115
40,2020-09-15 10:10:00,34.63,34.63,34.31,34.43,0,0,323856
41,2020-09-15 10:11:00,34.43,34.43,34.12,34.24,0,0,194657
42,2020-09-15 10:12:00,34.24,34.46,34.22,34.3,0,0,182759
43,2020-09-15 10:13:00,34.33,34.37,34.02,34.09,0,0,177553
44,2020-09-15 10:14:00,34.08,34.3,34.08,34.15,0,0,138330
45,2020-09-15 10:15:00,34.15,34.3,34.0,34.05,0,0,204919
46,2020-09-15 10:16:00,34.05,34.16,34.0,34.01,0,0,161410
47,2020-09-15 10:17:00,34.01,34.16,34.0,34.14,0,0,157150
48,2020-09-15 10:18:00,34.14,34.35,34.11,34.2,0,0,156604
49,2020-09-15 10:19:00,34.25,34.3,34.13,34.27,0,0,99506
50,2020-09-15 10:20:00,34.3,34.4,34.13,34.22,0,0,229856
51,2020-09-15 10:21:00,34.19,34.3,33.85,33.88,0,0,201583
52,2020-09-15 10:22:00,33.87,33.9,33.53,33.62,0,0,292616
53,2020-09-15 10:23:00,33.62,33.96,33.62,33.8,0,0,196698
54,2020-09-15 10:24:00,33.83,33.85,33.64,33.67,0,0,74598
55,2020-09-15 10:25:00,33.7,33.91,33.66,33.75,0,0,127518
56,2020-09-15 10:26:00,33.72,33.78,33.54,33.68,0,0,150054
57,2020-09-15 10:27:00,33.69,33.69,33.36,33.44,0,0,214587
58,2020-09-15 10:28:00,33.42,33.54,33.33,33.36,0,0,183432
59,2020-09-15 10:29:00,33.35,33.64,33.34,33.52,0,0,136509
60,2020-09-15 10:30:00,33.53,33.65,33.47,33.51,0,0,141086
61,2020-09-15 10:31:00,33.55,33.64,33.43,33.43,0,0,125425
62,2020-09-15 10:32:00,33.44,33.48,33.32,33.38,0,0,166092
63,2020-09-15 10:33:00,33.33,33.37,33.06,33.15,0,0,263284
64,2020-09-15 10:34:00,33.15,33.28,33.05,33.25,0,0,259734
65,2020-09-15 10:35:00,33.24,33.3,33.1,33.29,0,0,195177
66,2020-09-15 10:36:00,33.26,33.38,33.22,33.35,0,0,188421
67,2020-09-15 10:37:00,33.36,33.45,33.31,33.37,0,0,167257
68,2020-09-15 10:38:00,33.39,33.44,33.3,33.33,0,0,111998
69,2020-09-15 10:39:00,33.34,33.44,33.32,33.36,0,0,111658
70,2020-09-15 10:40:00,33.38,33.43,33.32,33.38,0,0,79270
71,2020-09-15 10:41:00,33.37,33.42,33.15,33.22,0,0,102557
72,2020-09-15 10:42:00,33.25,33.3,33.19,33.22,0,0,56176
73,2020-09-15 10:43:00,33.21,33.25,33.15,33.23,0,0,59700
74,2020-09-15 10:44:00,33.24,33.26,33.15,33.21,0,0,52997
75,2020-09-15 10:45:00,33.23,33.25,33.1,33.23,0,0,97432
76,2020-09-15 10:46:00,33.2,33.4,33.16,33.3,0,0,146992
77,2020-09-15 10:47:00,33.27,33.37,33.27,33.28,0,0,133541
78,2020-09-15 10:48:00,33.32,33.4,33.3,33.35,0,0,108949
79,2020-09-15 10:49:00,33.37,33.42,33.37,33.39,0,0,116440
80,2020-09-15 10:50:00,33.41,33.47,33.27,33.31,0,0,110967
81,2020-09-15 10:51:00,33.33,33.4,33.33,33.4,0,0,6846
82,2020-09-15 10:53:00,33.41,33.57,33.36,33.48,0,0,319802
83,2020-09-15 10:54:00,33.49,33.5,33.28,33.33,0,0,125446
84,2020-09-15 10:55:00,33.35,33.42,33.3,33.37,0,0,104702
85,2020-09-15 10:56:00,33.39,33.4,33.28,33.32,0,0,57222
86,2020-09-15 10:57:00,33.3,33.31,33.2,33.26,0,0,97200
87,2020-09-15 10:58:00,33.27,33.38,33.23,33.35,0,0,78819
88,2020-09-15 10:59:00,33.37,33.45,33.34,33.35,0,0,102979
89,2020-09-15 11:00:00,33.35,33.39,33.25,33.29,0,0,46086
90,2020-09-15 11:01:00,33.29,33.32,33.25,33.27,0,0,48748
91,2020-09-15 11:02:00,33.26,33.26,33.16,33.22,0,0,84774
92,2020-09-15 11:03:00,33.2,33.33,33.2,33.29,0,0,124927
93,2020-09-15 11:04:00,33.28,33.3,33.21,33.24,0,0,61080
94,2020-09-15 11:05:00,33.22,33.29,33.16,33.29,0,0,106720
95,2020-09-15 11:06:00,33.29,33.4,33.26,33.4,0,0,101823
96,2020-09-15 11:07:00,33.34,33.47,33.31,33.45,0,0,106064
97,2020-09-15 11:08:00,33.47,33.5,33.33,33.37,0,0,132652
98,2020-09-15 11:09:00,33.39,33.39,33.2,33.35,0,0,59033
99,2020-09-15 11:10:00,33.34,33.39,33.3,33.36,0,0,46021
100,2020-09-15 11:11:00,33.34,33.39,33.32,33.34,0,0,45192
101,2020-09-15 11:12:00,33.35,33.35,33.3,33.31,0,0,35791
102,2020-09-15 11:13:00,33.3,33.3,33.16,33.2,0,0,74775
103,2020-09-15 11:14:00,33.18,33.27,33.16,33.26,0,0,71386
104,2020-09-15 11:15:00,33.25,33.32,33.21,33.21,0,0,59054
105,2020-09-15 11:16:00,33.22,33.32,33.22,33.28,0,0,57383
106,2020-09-15 11:17:00,33.27,33.28,33.21,33.21,0,0,39444
107,2020-09-15 11:18:00,33.22,33.24,33.14,33.15,0,0,83559
108,2020-09-15 11:19:00,33.14,33.15,33.01,33.1,0,0,212320
109,2020-09-15 11:20:00,33.1,33.13,33.06,33.12,0,0,81115
110,2020-09-15 11:21:00,33.11,33.2,33.05,33.09,0,0,70545
111,2020-09-15 11:22:00,33.12,33.14,33.03,33.09,0,0,75650
112,2020-09-15 11:23:00,33.09,33.1,33.0,33.0,0,0,248208
113,2020-09-15 11:24:00,33.0,33.0,32.86,32.87,0,0,278917
114,2020-09-15 11:25:00,32.87,32.9,32.78,32.78,0,0,192368
115,2020-09-15 11:26:00,32.79,32.81,32.61,32.63,0,0,164676
116,2020-09-15 11:27:00,32.63,32.89,32.62,32.83,0,0,166573
117,2020-09-15 11:28:00,32.86,32.93,32.8,32.82,0,0,137173
118,2020-09-15 11:29:00,32.81,32.96,32.81,32.87,0,0,117104
119,2020-09-15 11:30:00,32.87,32.94,32.81,32.9,0,0,83274
120,2020-09-15 11:31:00,32.87,32.99,32.87,32.92,0,0,81273
121,2020-09-15 11:32:00,32.93,32.93,32.8,32.8,0,0,86831
122,2020-09-15 11:33:00,32.81,32.9,32.8,32.88,0,0,70004
123,2020-09-15 11:34:00,32.88,32.93,32.83,32.9,0,0,72440
