,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,8.39,8.39,8.35,8.38,0,0,182736
1,2020-09-15 09:31:00,8.38,8.39,8.37,8.39,0,0,87278
2,2020-09-15 09:32:00,8.39,8.41,8.39,8.4,0,0,184186
3,2020-09-15 09:33:00,8.4,8.42,8.4,8.4,0,0,85990
4,2020-09-15 09:34:00,8.4,8.42,8.4,8.41,0,0,126403
5,2020-09-15 09:35:00,8.41,8.44,8.4,8.44,0,0,161875
6,2020-09-15 09:36:00,8.44,8.45,8.43,8.43,0,0,269993
7,2020-09-15 09:37:00,8.43,8.44,8.4,8.41,0,0,30384
8,2020-09-15 09:38:00,8.41,8.42,8.4,8.41,0,0,18572
9,2020-09-15 09:39:00,8.41,8.42,8.4,8.42,0,0,97349
10,2020-09-15 09:40:00,8.42,8.43,8.41,8.41,0,0,54154
11,2020-09-15 09:41:00,8.41,8.41,8.4,8.41,0,0,55352
12,2020-09-15 09:42:00,8.4,8.4,8.38,8.38,0,0,111826
13,2020-09-15 09:43:00,8.38,8.39,8.36,8.36,0,0,128001
14,2020-09-15 09:44:00,8.36,8.36,8.33,8.34,0,0,92941
15,2020-09-15 09:45:00,8.34,8.34,8.31,8.32,0,0,37834
16,2020-09-15 09:46:00,8.31,8.31,8.3,8.31,0,0,137331
17,2020-09-15 09:47:00,8.31,8.32,8.31,8.31,0,0,51877
18,2020-09-15 09:48:00,8.31,8.31,8.28,8.28,0,0,48525
19,2020-09-15 09:49:00,8.27,8.27,8.26,8.27,0,0,110286
20,2020-09-15 09:50:00,8.27,8.27,8.26,8.26,0,0,39893
21,2020-09-15 09:51:00,8.26,8.26,8.24,8.26,0,0,12331
22,2020-09-15 09:52:00,8.26,8.27,8.24,8.24,0,0,116159
23,2020-09-15 09:53:00,8.24,8.25,8.22,8.23,0,0,56496
24,2020-09-15 09:54:00,8.23,8.25,8.23,8.25,0,0,19961
25,2020-09-15 09:55:00,8.24,8.27,8.24,8.27,0,0,267393
26,2020-09-15 09:56:00,8.28,8.28,8.26,8.27,0,0,263077
27,2020-09-15 09:57:00,8.28,8.3,8.26,8.27,0,0,236608
28,2020-09-15 09:58:00,8.26,8.27,8.24,8.25,0,0,41781
29,2020-09-15 09:59:00,8.25,8.25,8.23,8.24,0,0,85595
30,2020-09-15 10:00:00,8.23,8.23,8.22,8.22,0,0,32998
31,2020-09-15 10:01:00,8.22,8.23,8.2,8.21,0,0,61725
32,2020-09-15 10:02:00,8.21,8.23,8.21,8.22,0,0,58686
33,2020-09-15 10:03:00,8.22,8.23,8.22,8.23,0,0,62699
34,2020-09-15 10:04:00,8.23,8.26,8.23,8.25,0,0,102294
35,2020-09-15 10:05:00,8.26,8.26,8.24,8.26,0,0,93737
36,2020-09-15 10:06:00,8.25,8.25,8.23,8.24,0,0,81605
37,2020-09-15 10:07:00,8.24,8.26,8.24,8.24,0,0,149803
38,2020-09-15 10:08:00,8.25,8.27,8.25,8.25,0,0,82140
39,2020-09-15 10:09:00,8.25,8.26,8.24,8.25,0,0,17796
40,2020-09-15 10:10:00,8.25,8.25,8.23,8.24,0,0,11908
41,2020-09-15 10:11:00,8.24,8.24,8.23,8.24,0,0,11523
42,2020-09-15 10:12:00,8.24,8.24,8.23,8.23,0,0,12210
43,2020-09-15 10:13:00,8.24,8.24,8.23,8.24,0,0,3218
44,2020-09-15 10:14:00,8.23,8.24,8.23,8.24,0,0,17024
