,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,37.01,37.01,36.82,36.92,0,0,284660
1,2020-09-15 09:31:00,36.92,37.21,36.88,37.2,0,0,104850
2,2020-09-15 09:32:00,37.2,37.28,37.13,37.14,0,0,117455
3,2020-09-15 09:33:00,37.15,37.17,37.05,37.11,0,0,88378
4,2020-09-15 09:34:00,37.13,37.24,37.08,37.08,0,0,109889
5,2020-09-15 09:35:00,37.09,37.12,36.77,36.89,0,0,97175
6,2020-09-15 09:36:00,36.89,37.06,36.89,36.98,0,0,59190
7,2020-09-15 09:37:00,36.99,37.31,36.98,37.3,0,0,108003
8,2020-09-15 09:38:00,37.28,37.32,37.17,37.18,0,0,49424
9,2020-09-15 09:39:00,37.18,37.2,37.12,37.15,0,0,33013
10,2020-09-15 09:40:00,37.17,37.2,37.1,37.18,0,0,36618
11,2020-09-15 09:41:00,37.2,37.4,37.2,37.38,0,0,75193
12,2020-09-15 09:42:00,37.38,37.5,37.33,37.38,0,0,139108
13,2020-09-15 09:43:00,37.37,37.64,37.36,37.64,0,0,134151
14,2020-09-15 09:44:00,37.62,37.64,37.4,37.46,0,0,105109
15,2020-09-15 09:45:00,37.45,37.52,37.41,37.47,0,0,78311
16,2020-09-15 09:46:00,37.48,37.57,37.42,37.5,0,0,60470
17,2020-09-15 09:47:00,37.52,37.69,37.51,37.66,0,0,52898
18,2020-09-15 09:48:00,37.68,37.72,37.61,37.68,0,0,84409
19,2020-09-15 09:49:00,37.69,37.83,37.68,37.82,0,0,132829
20,2020-09-15 09:50:00,37.81,37.87,37.71,37.75,0,0,123640
21,2020-09-15 09:51:00,37.75,37.78,37.64,37.67,0,0,81078
22,2020-09-15 09:52:00,37.67,37.73,37.64,37.72,0,0,37900
23,2020-09-15 09:53:00,37.71,37.72,37.52,37.52,0,0,42626
24,2020-09-15 09:54:00,37.52,37.57,37.46,37.52,0,0,58392
25,2020-09-15 09:55:00,37.52,37.58,37.48,37.49,0,0,25428
26,2020-09-15 09:56:00,37.48,37.49,37.43,37.44,0,0,30988
27,2020-09-15 09:57:00,37.44,37.45,37.38,37.41,0,0,34377
28,2020-09-15 09:58:00,37.41,37.49,37.39,37.42,0,0,30754
29,2020-09-15 09:59:00,37.41,37.49,37.38,37.42,0,0,85476
30,2020-09-15 10:00:00,37.43,37.53,37.43,37.51,0,0,51440
31,2020-09-15 10:01:00,37.51,37.64,37.51,37.62,0,0,83737
32,2020-09-15 10:02:00,37.62,37.64,37.57,37.57,0,0,47333
33,2020-09-15 10:03:00,37.57,37.61,37.51,37.59,0,0,37719
34,2020-09-15 10:04:00,37.57,37.57,37.48,37.49,0,0,22757
35,2020-09-15 10:05:00,37.47,37.48,37.35,37.37,0,0,38951
36,2020-09-15 10:06:00,37.36,37.36,37.28,37.31,0,0,43157
37,2020-09-15 10:07:00,37.31,37.38,37.3,37.32,0,0,38487
38,2020-09-15 10:08:00,37.31,37.31,37.23,37.27,0,0,24900
39,2020-09-15 10:09:00,37.27,37.38,37.26,37.36,0,0,20845
40,2020-09-15 10:10:00,37.37,37.44,37.37,37.41,0,0,21676
41,2020-09-15 10:11:00,37.4,37.52,37.39,37.43,0,0,22335
42,2020-09-15 10:12:00,37.44,37.49,37.37,37.38,0,0,15121
43,2020-09-15 10:13:00,37.36,37.38,37.22,37.22,0,0,26530
44,2020-09-15 10:14:00,37.23,37.24,37.16,37.17,0,0,35985
45,2020-09-15 10:15:00,37.16,37.19,37.03,37.04,0,0,26995
46,2020-09-15 10:16:00,37.04,37.07,36.98,37.01,0,0,44068
47,2020-09-15 10:17:00,37.01,37.01,36.96,36.97,0,0,29284
48,2020-09-15 10:18:00,36.96,37.07,36.95,37.06,0,0,34004
49,2020-09-15 10:19:00,37.06,37.06,36.97,36.97,0,0,19939
50,2020-09-15 10:20:00,36.97,36.99,36.93,36.97,0,0,18285
51,2020-09-15 10:21:00,36.95,36.95,36.8,36.81,0,0,44149
52,2020-09-15 10:22:00,36.79,36.81,36.68,36.78,0,0,79304
53,2020-09-15 10:23:00,36.77,36.88,36.74,36.75,0,0,45311
54,2020-09-15 10:24:00,36.73,36.75,36.71,36.75,0,0,21092
55,2020-09-15 10:25:00,36.74,36.85,36.74,36.77,0,0,108432
56,2020-09-15 10:26:00,36.77,36.77,36.67,36.74,0,0,88004
57,2020-09-15 10:27:00,36.74,36.74,36.67,36.71,0,0,53968
58,2020-09-15 10:28:00,36.71,36.71,36.64,36.65,0,0,27971
59,2020-09-15 10:29:00,36.66,36.78,36.65,36.72,0,0,58577
60,2020-09-15 10:30:00,36.72,36.73,36.66,36.71,0,0,28223
61,2020-09-15 10:31:00,36.71,36.85,36.71,36.83,0,0,60798
62,2020-09-15 10:32:00,36.83,36.84,36.7,36.74,0,0,20598
63,2020-09-15 10:33:00,36.75,36.76,36.65,36.67,0,0,21237
64,2020-09-15 10:34:00,36.67,36.77,36.65,36.74,0,0,201904
65,2020-09-15 10:35:00,36.75,36.87,36.75,36.8,0,0,48286
66,2020-09-15 10:36:00,36.79,36.8,36.74,36.79,0,0,22734
67,2020-09-15 10:37:00,36.8,36.86,36.77,36.79,0,0,35097
68,2020-09-15 10:38:00,36.79,36.81,36.69,36.7,0,0,31701
69,2020-09-15 10:39:00,36.7,36.7,36.6,36.61,0,0,44754
70,2020-09-15 10:40:00,36.6,36.6,36.5,36.54,0,0,37979
71,2020-09-15 10:41:00,36.54,36.55,36.48,36.5,0,0,50879
72,2020-09-15 10:42:00,36.49,36.49,36.4,36.46,0,0,36575
73,2020-09-15 10:43:00,36.48,36.48,36.35,36.35,0,0,44641
74,2020-09-15 10:44:00,36.35,36.36,36.31,36.35,0,0,44437
75,2020-09-15 10:45:00,36.36,36.44,36.35,36.4,0,0,28340
76,2020-09-15 10:46:00,36.39,36.44,36.36,36.44,0,0,20118
77,2020-09-15 10:47:00,36.43,36.5,36.41,36.5,0,0,23390
78,2020-09-15 10:48:00,36.49,36.58,36.49,36.52,0,0,53611
79,2020-09-15 10:49:00,36.46,36.49,36.42,36.42,0,0,24004
80,2020-09-15 10:50:00,36.42,36.49,36.39,36.48,0,0,20605
81,2020-09-15 10:51:00,36.48,36.5,36.47,36.49,0,0,9183
82,2020-09-15 10:53:00,36.54,36.76,36.54,36.75,0,0,63667
83,2020-09-15 10:54:00,36.75,36.78,36.66,36.69,0,0,52552
84,2020-09-15 10:55:00,36.67,36.78,36.67,36.69,0,0,42822
85,2020-09-15 10:56:00,36.69,36.72,36.66,36.66,0,0,19249
86,2020-09-15 10:57:00,36.66,36.68,36.63,36.66,0,0,132613
87,2020-09-15 10:58:00,36.67,36.69,36.62,36.67,0,0,25432
88,2020-09-15 10:59:00,36.68,36.68,36.64,36.65,0,0,24897
89,2020-09-15 11:00:00,36.64,36.65,36.62,36.62,0,0,20651
90,2020-09-15 11:01:00,36.61,36.62,36.55,36.58,0,0,25496
91,2020-09-15 11:02:00,36.58,36.64,36.57,36.64,0,0,41840
92,2020-09-15 11:03:00,36.64,36.7,36.64,36.7,0,0,41644
93,2020-09-15 11:04:00,36.69,36.74,36.69,36.73,0,0,24176
94,2020-09-15 11:05:00,36.73,36.74,36.71,36.74,0,0,15928
95,2020-09-15 11:06:00,36.74,36.83,36.74,36.81,0,0,23853
96,2020-09-15 11:07:00,36.8,36.89,36.8,36.85,0,0,90984
97,2020-09-15 11:08:00,36.85,36.92,36.81,36.82,0,0,37441
98,2020-09-15 11:09:00,36.82,36.82,36.78,36.8,0,0,19847
