,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,7.64,7.77,7.63,7.7,0,0,1307199
1,2020-09-15 09:31:00,7.7,7.7,7.56,7.58,0,0,217489
2,2020-09-15 09:32:00,7.58,7.58,7.38,7.44,0,0,436636
3,2020-09-15 09:33:00,7.43,7.43,7.26,7.26,0,0,329340
4,2020-09-15 09:34:00,7.27,7.47,7.26,7.43,0,0,231063
5,2020-09-15 09:35:00,7.45,7.45,7.34,7.35,0,0,193060
6,2020-09-15 09:36:00,7.34,7.38,7.22,7.26,0,0,368707
7,2020-09-15 09:37:00,7.24,7.3,7.18,7.2,0,0,328467
8,2020-09-15 09:38:00,7.2,7.27,7.19,7.21,0,0,180098
9,2020-09-15 09:39:00,7.2,7.24,7.14,7.17,0,0,302238
10,2020-09-15 09:40:00,7.18,7.25,7.17,7.23,0,0,174069
11,2020-09-15 09:41:00,7.24,7.28,7.2,7.28,0,0,174494
12,2020-09-15 09:42:00,7.28,7.28,7.18,7.24,0,0,192812
13,2020-09-15 09:43:00,7.24,7.26,7.22,7.25,0,0,95591
14,2020-09-15 09:44:00,7.26,7.26,7.16,7.17,0,0,183716
15,2020-09-15 09:45:00,7.17,7.18,7.07,7.11,0,0,372960
16,2020-09-15 09:46:00,7.11,7.15,7.1,7.14,0,0,177686
17,2020-09-15 09:47:00,7.15,7.16,7.1,7.12,0,0,137178
18,2020-09-15 09:48:00,7.12,7.17,7.11,7.12,0,0,100634
19,2020-09-15 09:49:00,7.12,7.13,7.08,7.1,0,0,117719
20,2020-09-15 09:50:00,7.08,7.12,7.05,7.05,0,0,154951
21,2020-09-15 09:51:00,7.06,7.06,6.96,6.97,0,0,429190
22,2020-09-15 09:52:00,6.97,7.03,6.93,7.01,0,0,362261
23,2020-09-15 09:53:00,7.01,7.03,6.99,7.02,0,0,161817
24,2020-09-15 09:54:00,7.02,7.06,7.0,7.06,0,0,100679
25,2020-09-15 09:55:00,7.06,7.09,7.04,7.07,0,0,193070
26,2020-09-15 09:56:00,7.07,7.08,7.04,7.05,0,0,136006
