,Datetime,Open,High,Low,Close,Stock Splits,Dividends,Volume
0,2020-09-15 09:30:00,81.56,81.75,81.53,81.57,0,0.0,248758
1,2020-09-15 09:31:00,81.58,81.62,81.43,81.43,0,0.0,50969
2,2020-09-15 09:32:00,81.38,81.58,81.38,81.57,0,0.0,66374
3,2020-09-15 09:33:00,81.58,81.66,81.48,81.63,0,0.0,45549
4,2020-09-15 09:34:00,81.63,81.64,81.56,81.62,0,0.0,52555
5,2020-09-15 09:35:00,81.64,81.7,81.58,81.69,0,0.0,42449
6,2020-09-15 09:36:00,81.7,82.17,81.69,82.04,0,0.0,233196
7,2020-09-15 09:37:00,82.01,82.05,81.81,81.95,0,0.0,44752
8,2020-09-15 09:38:00,81.92,81.94,81.79,81.88,0,0.0,43151
9,2020-09-15 09:39:00,81.87,82.01,81.84,82.01,0,0.0,52816
10,2020-09-15 09:40:00,82.01,82.04,81.88,81.9,0,0.0,40743
11,2020-09-15 09:41:00,81.91,81.97,81.86,81.86,0,0.0,27599
12,2020-09-15 09:42:00,81.86,81.96,81.83,81.93,0,0.0,42028
13,2020-09-15 09:43:00,81.91,82.11,81.91,82.11,0,0.0,53564
14,2020-09-15 09:44:00,82.11,82.33,82.11,82.33,0,0.0,113624
15,2020-09-15 09:45:00,82.32,82.46,82.13,82.17,0,0.0,121171
16,2020-09-15 09:46:00,82.17,82.28,82.14,82.23,0,0.0,42691
17,2020-09-15 09:47:00,82.24,82.55,82.24,82.5,0,0.0,190644
18,2020-09-15 09:48:00,82.5,82.68,82.46,82.62,0,0.0,158658
19,2020-09-15 09:49:00,82.63,82.93,82.62,82.78,0,0.0,395029
20,2020-09-15 09:50:00,82.76,82.87,82.69,82.84,0,0.0,205138
21,2020-09-15 09:51:00,82.84,82.96,82.77,82.9,0,0.0,213626
22,2020-09-15 09:52:00,82.89,83.18,82.89,83.03,0,0.0,352741
23,2020-09-15 09:53:00,83.03,83.3,83.0,83.18,0,0.0,178919
24,2020-09-15 09:54:00,83.19,83.25,83.05,83.13,0,0.0,129831
25,2020-09-15 09:55:00,83.14,83.22,83.06,83.2,0,0.0,102699
